"Job vacancies, payroll employees, and job vacancy rate by provinces and territories, monthly, unadjusted for seasonality 1 2 3"
"Frequency: Monthly"
"Table: 14-10-0371-01"
"Release date: 2021-12-23"
"Geography: Canada, Province or territory"
""
""

"Geography","Statistics","June 2021","July 2021","August 2021","September 2021","October 2021"
,"Job vacancies 4","1,970D","1,410E","1,145D","1,400D","1,425D"
,"Payroll employees 5 6","17,630A","18,590A","18,075A","18,825A","18,965A"
,,"Percentage",,,,
,"Job vacancy rate 7","10.0D","7.0D","5.9D","6.9D","7.0D"
"Northwest Territories",,"Number",,,,
,"Job vacancies 4","1,035E","1,360D","1,315D","1,355E","F"
,"Payroll employees 5 6","19,790B","20,875A","20,900A","21,015A","21,055A"
,,"Percentage",,,,
,"Job vacancy rate 7","5.0E","6.1D","5.9D","6.0D","F"
"Nunavut",,"Number",,,,
,"Job vacancies 4","F","F","685E","F","595D"
,"Payroll employees 5 6","14,140D","13,785A","14,220A","14,330D","14,600A"
,,"Percentage",,,,
,"Job vacancy rate 7","F","F","4.6E","F","3.9D"

Symbol legend:
E, use with caution
F, too unreliable to be published
A, data quality: excellent
B, data quality: very good
C, data quality: good
D, data quality: acceptable






Footnotes:
1,"Data quality indicators are based on the coefficient of variation (CV), the non-response errors, the imputation errors, and subject matter expertise: A – Excellent; B - Very good; C - Good; D – Acceptable; E - Use with caution; F - Too unreliable to publish."
2,"Estimates are preliminary before the associated quarterly data is released. The three monthly estimates in a quarter are revised as final when the quarterly estimates are released, or shortly after."
3,"Data for the second and third quarters of 2020 are unavailable due to some Statistics Canada operations being temporarily suspended during the COVID-19 pandemic."
4,"A job is vacant if it meets the following conditions: it is vacant on the reference date (first day of the month) or will become vacant during the month; there are tasks to be carried out during the month for the job in question; and the employer is actively seeking a worker outside the organization to fill the job. The jobs could be full-time, part-time, permanent, temporary, casual, or seasonal. Jobs reserved for subcontractors, external consultants, or other workers who are not considered employees, are excluded."
5,"The "employee" concept used in the Job Vacancy and Wage Survey (JVWS) is comprised of full-time employees, part-time employees, as well as permanent, casual, temporary, and seasonal employees. It also includes working owners, directors, partners, and other officers of incorporated businesses, as well as employees who work off site (for example, at home or on the road) but report to the location, and those employees on paid leave. The "employee" concept used in the JVWS is meant to exclude owners or partners of unincorporated businesses and professional practices, the self-employed, subcontractors, external consultants, unpaid family workers, persons working outside Canada, and military personnel. It also excludes employees on unpaid leave, such as those on extended sick leave who are receiving insurance benefits."
6,"The employment estimates from the Job Vacancy and Wage Survey (JVWS) are calibrated to corresponding employment estimates from the <a href="https://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=2612">Survey of Employment, Payrolls and Hours</a> (SEPH), usually at the North American Industry Classification System sector (NAICS2) level by province. The reference period for JVWS is the first day of the month, which corresponds to the previous month for SEPH. Therefore, JVWS estimates for the current month are calibrated to SEPH estimates for the previous month. To improve timeliness of the preliminary JVWS estimates, they are calibrated to preliminary SEPH employment estimates. The final JVWS estimates are calibrated to final SEPH employment estimates. Users wishing to analyse employment data are advised to use the most current Labour Force Survey and SEPH estimates."
7,"The job vacancy rate is the number of job vacancies expressed as a percentage of labour demand; that is, all occupied and vacant jobs."



"How to cite: Statistics Canada. Table 14-10-0371-01  Job vacancies, payroll employees, and job vacancy rate by provinces and territories, monthly, unadjusted for seasonality"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410037101
